iteration,alpha,cost
1,0.001,65461556490.590126
2,0.001,65331837660.04303
3,0.001,65202391025.93954
4,0.001,65073216000.71883
5,0.001,64944311998.132965
6,0.001,64815678433.243774
7,0.001,64687314722.41973
8,0.001,64559220283.33306
9,0.001,64431394534.9566
10,0.001,64303836897.56084
11,0.001,64176546792.71074
12,0.001,64049523643.26305
13,0.001,63922766873.36285
14,0.001,63796275908.440956
15,0.001,63670050175.21071
16,0.001,63544089101.66503
17,0.001,63418392117.073524
18,0.001,63292958651.97938
19,0.001,63167788138.196526
20,0.001,63042880008.80655
21,0.001,62918233698.15588
22,0.001,62793848641.852806
23,0.001,62669724276.76448
24,0.001,62545860041.01408
25,0.001,62422255373.9778
26,0.001,62298909716.282005
27,0.001,62175822509.80035
28,0.001,62052993197.65079
29,0.001,61930421224.19273
30,0.001,61808106035.02419
31,0.001,61686047076.97888
32,0.001,61564243798.12331
33,0.001,61442695647.753944
34,0.001,61321402076.39441
35,0.001,61200362535.79254
36,0.001,61079576478.91767
37,0.001,60959043359.95756
38,0.001,60838762634.315895
39,0.001,60718733758.60917
40,0.001,60598956190.66407
41,0.001,60479429389.514565
42,0.001,60360152815.39907
43,0.001,60241125929.75789
44,0.001,60122348195.23002
45,0.001,60003819075.65079
46,0.001,59885538036.04883
47,0.001,59767504542.64342
48,0.001,59649718062.841606
49,0.001,59532178065.23558
50,0.001,59414884019.59989
1,0.003,65201982879.11116
2,0.003,64814867416.794655
3,0.003,64430185873.13118
4,0.003,64047922507.83496
5,0.003,63668061685.970924
6,0.003,63290587877.21958
7,0.003,62915485655.1476
8,0.003,62542739696.48343
9,0.003,62172334780.398445
10,0.003,61804255787.79322
11,0.003,61438487700.58896
12,0.003,61075015601.02435
13,0.003,60713824670.957115
14,0.003,60354900191.17112
15,0.003,59998227540.68827
16,0.003,59643792196.08547
17,0.003,59291579730.81656
18,0.003,58941575814.53915
19,0.003,58593766212.44657
20,0.003,58248136784.60429
21,0.003,57904673485.29153
22,0.003,57563362362.34757
23,0.003,57224189556.522575
24,0.003,56887141300.833435
25,0.003,56552203919.92423
26,0.003,56219363829.43118
27,0.003,55888607535.35231
28,0.003,55559921633.42177
29,0.003,55233292808.4884
30,0.003,54908707833.899414
31,0.003,54586153570.887634
32,0.003,54265616967.96398
33,0.003,53947085060.31407
34,0.003,53630544969.19908
35,0.003,53315983901.36095
36,0.003,53003389148.43212
37,0.003,52692748086.34938
38,0.003,52384048174.77188
39,0.003,52077276956.50348
40,0.003,51772422056.919235
41,0.003,51469471183.395966
42,0.003,51168412124.74706
43,0.003,50869232750.66122
44,0.003,50571921011.145256
45,0.003,50276464935.9712
46,0.003,49982852634.12685
47,0.003,49691072293.27076
48,0.003,49401112179.190994
49,0.003,49112960635.26769
50,0.003,48826606081.93963
1,0.01,64297776251.62009
2,0.01,63031018305.52133
3,0.01,61790694237.532486
4,0.01,60576236901.99104
5,0.01,59387091739.988594
6,0.01,58222716488.38939
7,0.01,57082580895.8954
8,0.01,55966166445.97887
9,0.01,54872966086.50778
10,0.01,53802483965.89505
11,0.01,52754235175.605446
12,0.01,51727745498.85994
13,0.01,50722551165.380974
14,0.01,49738198612.02587
15,0.01,48774244249.16026
16,0.01,47830254232.62681
17,0.01,46905804241.168976
18,0.01,46000479259.17251
19,0.01,45113873364.59137
20,0.01,44245589521.92843
21,0.01,43395239380.14428
22,0.01,42562443075.37121
23,0.01,41746829038.31239
24,0.01,40948033806.209465
25,0.01,40165701839.264984
26,0.01,39399485341.4087
27,0.01,38649044085.30025
28,0.01,37914045241.46272
29,0.01,37194163211.4454
30,0.01,36489079464.915146
31,0.01,35798482380.58049
32,0.01,35122067090.852936
33,0.01,34459535330.15381
34,0.01,33810595286.776836
35,0.01,33174961458.21924
36,0.01,32552354509.895866
37,0.01,31942501137.15358
38,0.01,31345133930.505222
39,0.01,30759991244.004223
40,0.01,30186817066.68309
41,0.01,29625360896.98129
42,0.01,29075377620.08948
43,0.01,28536627388.139034
44,0.01,28008875503.167995
45,0.01,27491892302.795822
46,0.01,26985453048.541317
47,0.01,26489337816.719707
48,0.01,26003331391.856533
49,0.01,25527223162.557613
50,0.01,25060807019.77559
1,0.03,61751194567.519264
2,0.03,58148716772.69244
3,0.03,54768975704.9155
4,0.03,51597828017.53689
5,0.03,48622057904.90812
6,0.03,45829313849.67431
7,0.03,43208049880.79114
8,0.03,40747471005.033516
9,0.03,38437482501.15201
10,0.03,36268642790.07144
11,0.03,34232119616.797653
12,0.03,32319649300.16421
13,0.03,30523498825.36608
14,0.03,28836430571.526657
15,0.03,27251669482.457336
16,0.03,25762872503.407513
17,0.03,24364100120.0758
18,0.03,23049789848.55528
19,0.03,21814731536.30518
20,0.03,20654044344.760174
21,0.03,19563155293.879642
22,0.03,18537779257.87099
23,0.03,17573900309.55472
24,0.03,16667754318.43236
25,0.03,15815812714.522175
26,0.03,15014767336.49052
27,0.03,14261516288.57169
28,0.03,13553150736.276678
29,0.03,12886942575.977587
30,0.03,12260332918.153444
31,0.03,11670921328.425558
32,0.03,11116455774.524815
33,0.03,10594823231.04492
34,0.03,10104040897.269003
35,0.03,9642247986.533535
36,0.03,9207698048.533604
37,0.03,8798751788.695415
38,0.03,8413870351.262778
39,0.03,8051609035.07932
40,0.03,7710611413.2120285
41,0.03,7389603829.567659
42,0.03,7087390247.51291
43,0.03,6802847427.2343855
44,0.03,6534920410.174515
45,0.03,6282618290.3646145
46,0.03,6045010253.854807
47,0.03,5821221868.720691
48,0.03,5610431609.315545
49,0.03,5411867599.54148
50,0.03,5224804560.93967
1,0.1,53268259941.6916
2,0.1,43389084347.20148
3,0.1,35457430400.18725
4,0.1,29080554650.265377
5,0.1,23947078942.486904
6,0.1,19809572950.407112
7,0.1,16471010836.840017
8,0.1,13774203352.014154
9,0.1,11593524216.527594
10,0.1,9828412382.488958
11,0.1,8398254002.7833605
12,0.1,7238340120.371357
13,0.1,6296665891.960342
14,0.1,5531390234.906867
15,0.1,4908815308.04403
16,0.1,4401776301.436805
17,0.1,3988355919.642097
18,0.1,3650856417.6315546
19,0.1,3374976377.45505
20,0.1,3149150567.4992957
21,0.1,2964019938.349604
22,0.1,2812005636.475741
23,0.1,2686966283.4586883
24,0.1,2583921998.861998
25,0.1,2498831988.519209
26,0.1,2428415169.3164096
27,0.1,2370005405.4349537
28,0.1,2321434605.229441
29,0.1,2280938262.717159
30,0.1,2247079093.6803536
31,0.1,2218685269.075388
